antecedent,consequent,support,confidence,lift
quota=home state;stream=b.e/b. tech,district=north 24 parganas,0.048379,0.079532,0.694202
stream=b.e/b. tech,district=nadia,0.078207,0.078763,1.007099
quota=home state,district=north 24 parganas,0.048379,0.078696,0.686912
district=kolkata,program=electrical engineering,0.026638,0.078539,0.800049
district=kolkata;stream=b.e/b. tech,program=electrical engineering,0.026638,0.078539,0.800049
quota=home state;stream=b.e/b. tech,category=ews,0.046746,0.076848,1.633566
quota=home state,category=ews,0.047043,0.076524,1.626675
quota=all india;stream=b.e/b. tech,program=mechanical engineering,0.029383,0.076389,1.089411
quota=all india,program=mechanical engineering,0.029383,0.076271,1.087732
category=open;quota=all india,program=mechanical engineering,0.029383,0.076271,1.087732
category=open;stream=b.e/b. tech,program=civil engineering,0.033316,0.075577,1.319358
category=open,program=civil engineering,0.033316,0.07531,1.314711
quota=all india;stream=b.e/b. tech,program=civil engineering,0.028493,0.074074,1.29313
stream=b.e/b. tech,category=obc - a,0.073533,0.074055,0.99505
quota=all india,program=civil engineering,0.028493,0.07396,1.291137
category=open;quota=all india,program=civil engineering,0.028493,0.07396,1.291137
district=kolkata,category=obc - a,0.024783,0.073069,0.98181
district=kolkata;stream=b.e/b. tech,category=obc - a,0.024783,0.073069,0.98181
stream=b.e/b. tech,program=electronics & communication engineering,0.0719,0.072411,1.007099
district=kolkata,category=obc - b,0.024041,0.070882,0.999238
district=kolkata;stream=b.e/b. tech,category=obc - b,0.024041,0.070882,0.999238
stream=b.e/b. tech,program=mechanical engineering,0.070119,0.070617,1.007099
stream=b.e/b. tech,category=obc - b,0.070045,0.070543,0.994458
stream=b.e/b. tech,district=south 24 parganas,0.069971,0.070468,1.007099
quota=all india;stream=b.e/b. tech,program=computer science & engineering (artificial intelligence and machine learning),0.026786,0.069637,1.988353
quota=all india,program=computer science & engineering (artificial intelligence and machine learning),0.026786,0.06953,1.985289
category=open;quota=all india,program=computer science & engineering (artificial intelligence and machine learning),0.026786,0.06953,1.985289
quota=home state,district=jalpaiguri,0.041997,0.068316,1.626675
quota=home state;stream=b.e/b. tech,program=mechanical engineering,0.040736,0.066968,0.955049
